Probeset	Nod_10dpi_1	Nod_10dpi_2	Nod_10dpi_3
Mtr.10393.1.S1_at	7227.39	7456.29	7666.09
Mtr.10394.1.S1_at	1103.58	553.966	541.581
Mtr.10395.1.S1_at	28.0283	25.9326	37.675
Mtr.10396.1.S1_at	340.101	893.348	179.699
Mtr.10397.1.S1_at	314.961	839.517	855.561
Mtr.10398.1.S1_at	6957.03	7449.41	7583.44
Mtr.10399.1.S1_at	2702.66	2801.94	2469.22
Mtr.104.1.S1_at	7.03786	8.10377	9.16099
Mtr.1040.1.S1_at	271.69	273.132	331.855
Mtr.10400.1.S1_at	4037.6	4129.22	3974.47
Mtr.10402.1.S1_at	28.8937	24.5386	18.1947
Mtr.10403.1.S1_at	20.5038	12.1375	17.628
Mtr.10404.1.S1_at	191.718	222.749	165.269
Mtr.10405.1.S1_at	508.876	499.094	600.354
Mtr.10406.1.S1_at	14.1059	14.8233	12.9172
Mtr.10407.1.S1_at	308.579	340.704	241.841
Mtr.10407.1.S1_s_at	1303.01	1347.47	1228.84
Mtr.10408.1.S1_at	1733.68	1832.56	1589.92
Mtr.10409.1.S1_at	11782.4	11840.1	10640.5
Mtr.1041.1.S1_at	10.0922	11.0897	9.12615
