Probeset	Nod_28dpi_1	Nod_28dpi_2	Nod_28dpi_3
Mtr.10361.1.S1_at	4935.8	4402.74	6324.28
Mtr.10362.1.S1_at	6699.42	5811.56	6656.11
Mtr.10363.1.S1_x_at	875.115	577.984	1387.72
Mtr.10364.1.S1_at	9.47015	8.51411	7.48282
Mtr.10365.1.S1_at	9.52345	8.13451	12.0036
Mtr.10365.1.S1_s_at	8686.16	10128.6	11185.2
Mtr.10366.1.S1_at	40.2846	52.0572	57.2529
Mtr.10367.1.S1_at	5888.25	5341.65	5471.39
Mtr.10368.1.S1_at	72.6516	56.7771	106.066
Mtr.10369.1.S1_at	14.9688	14.6913	11.8956
Mtr.1037.1.S1_at	21.6025	14.0066	24.8204
Mtr.10370.1.S1_at	4405.9	4402.74	5213.6
Mtr.10371.1.S1_at	6814.77	6912.12	7050.16
Mtr.10372.1.S1_at	1492.14	1294.18	1463.38
Mtr.10373.1.S1_at	292.802	166.668	245.181
Mtr.10375.1.S1_at	467.996	434.937	461.972
Mtr.10376.1.S1_at	6581.55	6197.54	7185.06
Mtr.10377.1.S1_at	190.63	229.464	177.386
Mtr.10377.1.S1_s_at	152.867	108.81	99.4063
Mtr.10378.1.S1_at	14.732	15.2746	15.5348
Mtr.10379.1.S1_at	242.549	195.683	152.49
Mtr.1038.1.S1_at	88.4684	72.4768	60.0198
Mtr.10380.1.S1_at	2447.27	1767.79	1937.39
Mtr.10382.1.S1_at	13137	12583.8	12614.4
Mtr.10383.1.S1_at	3101.38	2824.48	3495.01
Mtr.10384.1.S1_at	6464.53	6477.21	6756.33
Mtr.10385.1.S1_at	1562.28	1180.88	1203.36
Mtr.10386.1.S1_at	9044.5	6260.93	6602.61
Mtr.10387.1.S1_at	229.031	194.418	245.064
Mtr.10388.1.S1_at	132.201	118.907	115.833
Mtr.10389.1.S1_s_at	235.359	254.065	258.67
Mtr.1039.1.S1_at	84.3815	82.7655	78.9923
Mtr.10390.1.S1_at	437.444	385.654	339.708
Mtr.10391.1.S1_at	1673.6	1402.96	1336.53
Mtr.10392.1.S1_at	11081.2	10343.5	12485.2
Mtr.10393.1.S1_at	9899.48	8710.73	10824.4
Mtr.10394.1.S1_at	495.172	367.115	689.122
Mtr.10395.1.S1_at	61.6174	173.232	96.7376
Mtr.10396.1.S1_at	707.428	638.707	1057.85
Mtr.10397.1.S1_at	223.929	311.746	464.104
Mtr.10398.1.S1_at	5819.61	5788.71	5217.91
Mtr.10399.1.S1_at	3193.42	3866.36	3675.04
Mtr.104.1.S1_at	8.54067	8.68923	6.82839
Mtr.1040.1.S1_at	349.908	381.523	322.499
Mtr.10400.1.S1_at	4594.01	4147.79	4642.98
Mtr.10402.1.S1_at	28.6549	31.7552	17.3181
Mtr.10403.1.S1_at	14.4141	14.516	13.7098
Mtr.10404.1.S1_at	138.874	144.586	227.668
Mtr.10405.1.S1_at	694.321	658.468	829.752
Mtr.10406.1.S1_at	15.103	13.136	11.8686
Mtr.10407.1.S1_at	502.472	543.554	656.585
Mtr.10407.1.S1_s_at	1871.89	2468.67	2072.28
Mtr.10408.1.S1_at	2322.39	2330.33	2062.11
Mtr.10409.1.S1_at	14083	14287.8	14141.9
Mtr.1041.1.S1_at	9.85889	9.26467	11.1631
Mtr.10410.1.S1_at	138.371	158.512	126.429
