Probeset	Nod_06dpi_1	Nod_06dpi_2	Nod_06dpi_3
Mtr.10284.1.S1_at	45.6501	40.0002	45.6457
Mtr.10285.1.S1_at	26.6882	17.725	26.1269
Mtr.10286.1.S1_at	33.8203	37.8765	32.7961
Mtr.10287.1.S1_at	182.06	195.554	201.647
Mtr.10288.1.S1_at	11.458	14.5579	13.5642
Mtr.10289.1.S1_at	102.537	86.8159	69.8504
Mtr.1029.1.S1_at	7.21773	7.27923	9.5318
Mtr.10290.1.S1_at	87.7222	77.5122	92.9474
Mtr.10291.1.S1_at	731.327	812.967	776.382
Mtr.10292.1.S1_at	106.795	131.36	106.86
Mtr.10293.1.S1_at	8.40906	8.39716	9.5964
Mtr.10294.1.S1_at	577.061	563.747	620.238
Mtr.10295.1.S1_at	79.8135	90.5979	82.7736
Mtr.10296.1.S1_at	244.957	293.149	297.025
Mtr.10297.1.S1_at	14481.2	14993.7	15090.5
Mtr.10298.1.S1_at	10.5279	11.3459	9.32082
Mtr.10299.1.S1_at	4448.78	4526.09	4400.55
Mtr.103.1.S1_at	9.14144	7.80013	10.0525
Mtr.10300.1.S1_at	5869.14	5388.49	5398.29
Mtr.10301.1.S1_s_at	36.8478	53.3354	46.0169
Mtr.10302.1.S1_x_at	37.8489	36.5186	38.71
Mtr.10303.1.S1_at	4238.71	4081.53	4191.74
Mtr.10304.1.S1_at	3679.68	3980.92	4013.9
Mtr.10305.1.S1_at	4638.57	4597.23	4611.99
Mtr.10306.1.S1_at	5380.14	5347.82	5656.54
Mtr.10307.1.S1_at	879.247	754.223	862.249
Mtr.10308.1.S1_at	1767.88	1669.24	1934.63
Mtr.10309.1.S1_at	1837.88	1614.42	1735.76
Mtr.1031.1.S1_at	9.96215	11.3259	14.7005
Mtr.10310.1.S1_at	113.008	138.987	145.869
Mtr.10311.1.S1_at	15.1155	14.5553	14.7901
Mtr.10312.1.S1_at	131.94	100.855	135.282
Mtr.10313.1.S1_at	1864.08	2161.22	1956.33
Mtr.10314.1.S1_at	728.683	797.973	840.191
Mtr.10315.1.S1_at	942.223	1128.59	1115.29
Mtr.10316.1.S1_at	4801.92	5143.48	5525.41
Mtr.10317.1.S1_at	129.384	150.021	187.292
Mtr.10318.1.S1_at	3590.22	3448.7	3454.05
Mtr.10319.1.S1_at	43.9184	53.5803	24.8154
Mtr.1032.1.S1_at	11.2578	9.42238	13.2016
Mtr.10320.1.S1_at	1208.32	1102.61	1331.74
Mtr.10321.1.S1_at	2914.2	2824.99	2676.15
Mtr.10322.1.S1_at	1408.65	1413.96	1415.29
Mtr.10323.1.S1_at	1341.36	1195.09	1081.91
Mtr.10324.1.S1_at	4082.58	3883.12	3842.56
